Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,,,,Total Number of Votes,ABSENTEE VOTERS,BLACKBURN-ZIP CITY COMM_ CTR_,BROADWAY RECREATION CENTER,CENTER STAR-COL_ BANK COMM_ RM,CENTRAL COMMUNITY CENTER,CHAPEL-STEWARTVILLE CHURCH,CLOVERDALE COMMUNITY CENTER,CO_ BOARD OF ED_ ADM_ BLDG_,CROSSROADS-SR_ CIT_ BLDG_,DARBY DRIVE-CHURCH OF CHRIST,FLORENCE RICHARDS CENTER,FLORENCE SHERROD AVE CH CHRIST,FLORENCE-1ST PRESBYTERIAN CH_,FLORENCE-BLVD CHURCH OF CHRIST,FLORENCE-BRADSHAW HIGH SCHOOL,FLORENCE-COFFEE HIGH SCHOOL,FLORENCE-EAST AT CNTRL BAPTIST,FLORENCE-FOREST HILLS SCHOOL 1,FLORENCE-FOREST HILLS SCHOOL 2,FLORENCE-HANDY RECREATION CTR_,FLORENCE-HARLAN SCHOOL,FLORENCE-HIBBETT SCHOOL,FLORENCE-MARS HILL SCHOOL .1,FLORENCE-MARS HILL SCHOOL .2,FLORENCE-UNDERWOOD COMM CTR .1,FLORENCE-UNDERWOOD COMM CTR .2,GREENHILL SR. CITIZEN CENTER #1,GREENHILL SR. CITIZEN CENTER #2,HIGHLAND BAPTIST CHURCH .1,HIGHLAND BAPTIST CHURCH .2,KILLEN-BAPTIST CHURCH .1,KILLEN-BAPTIST CHURCH .2,LEXINGTON-FIRE STATION,MITCHELL ANDERSON-TOWN HALL,OAKLAND-FIRE STATION,ROGERSVILLE-SR_ CIT_ BLDG_  .1,ROGERSVILLE-SR_ CIT_ BLDG_  .2,ST_ FLORIAN-TOWN HALL,WATERLOO-SR_ CITIZENS' BLDG_
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LAUDERDALE,COMMISSIONER OF AG. & INDUSTRIES,DEM,"Sparks, Ron",13810,254,315,422,678,540,253,390,437,513,292,153,468,179,314,443,174,291,324,318,467,361,267,344,218,375,243,586,500,255,309,263,430,463,320,383,259,536,397,76
39,LAUDERDALE,COMMISSIONER OF AG. & INDUSTRIES,LIB,"Hulcher, Maude G.",571,12,14,17,27,12,8,19,26,18,15,11,14,18,21,16,14,17,14,20,4,20,17,19,15,13,4,29,16,8,6,10,21,15,6,12,10,15,15,3
39,LAUDERDALE,COMMISSIONER OF AG. & INDUSTRIES,REP,"Alley, J. Lee",10033,295,189,175,443,239,140,306,539,270,253,133,147,108,341,396,166,113,376,364,16,233,276,439,308,238,201,328,265,206,242,279,456,253,199,257,142,253,374,75
39,LAUDERDALE,COMMISSIONER OF AG. & INDUSTRIES,WI,WRITE-IN,15,0,1,0,1,0,1,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1
39,LAUDERDALE,"PUBLIC SERVICE COMMISSION, PLACE #1",DEM,"Cook, Jan",13836,272,298,412,680,524,239,373,456,489,305,159,466,181,321,458,185,294,329,336,461,351,283,367,215,355,244,591,506,263,304,263,443,479,314,382,256,512,388,82
39,LAUDERDALE,"PUBLIC SERVICE COMMISSION, PLACE #1",LIB,"Clark, Dick",721,13,16,22,49,19,10,24,21,24,13,12,18,12,21,17,20,22,19,13,5,26,19,24,18,21,13,37,28,12,10,18,25,17,12,16,12,23,16,4
39,LAUDERDALE,"PUBLIC SERVICE COMMISSION, PLACE #1",REP,"Martin, Charles B.",10209,285,199,189,439,257,159,310,549,283,253,130,150,114,350,401,150,105,377,369,21,245,263,426,313,257,196,326,242,201,245,276,453,264,203,262,144,349,387,67
39,LAUDERDALE,"PUBLIC SERVICE COMMISSION, PLACE #1",WI,WRITE-IN,30,0,1,0,2,0,1,5,1,1,0,0,0,2,1,2,1,0,1,0,0,0,1,0,2,0,1,2,1,1,0,0,2,0,0,0,1,1,0,0
39,LAUDERDALE,"PUBLIC SERVICE COMMISSION, PLACE #2",DEM,"Pierce, Greg",11167,246,245,352,533,381,179,287,365,378,256,141,445,155,253,406,167,247,277,291,453,330,237,288,179,266,192,447,379,220,253,190,342,340,213,309,177,389,303,56
39,LAUDERDALE,"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",638,16,12,17,31,16,6,12,29,16,13,8,12,16,22,21,18,20,18,13,7,26,21,24,11,16,11,34,24,13,13,12,26,13,13,12,11,20,12,3
